,LOC_NAME,postcode,Year,Offence Subdivision,Incidents Recorded
686,Craigieburn,3064,2013,Assault and related offences,264.0
686,Craigieburn,3064,2013,Dangerous and negligent acts endangering people,15.0
686,Craigieburn,3064,2013,Other crimes against the person,46.0
686,Craigieburn,3064,2013,Robbery,15.0
686,Craigieburn,3064,2013,"Stalking, harassment and threatening behaviour",52.0
686,Craigieburn,3064,2014,Assault and related offences,260.0
686,Craigieburn,3064,2014,Dangerous and negligent acts endangering people,15.0
686,Craigieburn,3064,2014,Other crimes against the person,33.0
686,Craigieburn,3064,2014,Robbery,7.0
686,Craigieburn,3064,2014,"Stalking, harassment and threatening behaviour",58.0
686,Craigieburn,3064,2015,Assault and related offences,266.0
686,Craigieburn,3064,2015,Dangerous and negligent acts endangering people,29.0
686,Craigieburn,3064,2015,Other crimes against the person,37.0
686,Craigieburn,3064,2015,Robbery,4.0
686,Craigieburn,3064,2015,"Stalking, harassment and threatening behaviour",77.0
686,Craigieburn,3064,2016,Assault and related offences,327.0
686,Craigieburn,3064,2016,Dangerous and negligent acts endangering people,30.0
686,Craigieburn,3064,2016,Other crimes against the person,35.0
686,Craigieburn,3064,2016,Robbery,22.0
686,Craigieburn,3064,2016,"Stalking, harassment and threatening behaviour",60.0
686,Craigieburn,3064,2017,Assault and related offences,296.0
686,Craigieburn,3064,2017,Dangerous and negligent acts endangering people,33.0
686,Craigieburn,3064,2017,Other crimes against the person,55.0
686,Craigieburn,3064,2017,Robbery,21.0
686,Craigieburn,3064,2017,"Stalking, harassment and threatening behaviour",92.0
686,Craigieburn,3064,2018,Assault and related offences,303.0
686,Craigieburn,3064,2018,Dangerous and negligent acts endangering people,32.0
686,Craigieburn,3064,2018,Other crimes against the person,50.0
686,Craigieburn,3064,2018,Robbery,13.0
686,Craigieburn,3064,2018,"Stalking, harassment and threatening behaviour",78.0
686,Craigieburn,3064,2019,Assault and related offences,363.0
686,Craigieburn,3064,2019,Dangerous and negligent acts endangering people,26.0
686,Craigieburn,3064,2019,Other crimes against the person,79.0
686,Craigieburn,3064,2019,Robbery,18.0
686,Craigieburn,3064,2019,"Stalking, harassment and threatening behaviour",98.0
686,Craigieburn,3064,2020,Assault and related offences,381.0
686,Craigieburn,3064,2020,Dangerous and negligent acts endangering people,31.0
686,Craigieburn,3064,2020,Other crimes against the person,91.0
686,Craigieburn,3064,2020,Robbery,26.0
686,Craigieburn,3064,2020,"Stalking, harassment and threatening behaviour",113.0
686,Craigieburn,3064,2021,Assault and related offences,419.0
686,Craigieburn,3064,2021,Dangerous and negligent acts endangering people,46.0
686,Craigieburn,3064,2021,Other crimes against the person,105.0
686,Craigieburn,3064,2021,Robbery,18.0
686,Craigieburn,3064,2021,"Stalking, harassment and threatening behaviour",111.0
686,Craigieburn,3064,2022,Assault and related offences,366.0
686,Craigieburn,3064,2022,Dangerous and negligent acts endangering people,43.0
686,Craigieburn,3064,2022,Other crimes against the person,58.0
686,Craigieburn,3064,2022,Robbery,17.0
686,Craigieburn,3064,2022,"Stalking, harassment and threatening behaviour",112.0
732,Dandenong,3175,2013,Assault and related offences,539.0
732,Dandenong,3175,2013,Dangerous and negligent acts endangering people,34.0
732,Dandenong,3175,2013,Other crimes against the person,84.0
732,Dandenong,3175,2013,Robbery,39.0
732,Dandenong,3175,2013,"Stalking, harassment and threatening behaviour",68.0
732,Dandenong,3175,2014,Assault and related offences,543.0
732,Dandenong,3175,2014,Dangerous and negligent acts endangering people,36.0
732,Dandenong,3175,2014,Other crimes against the person,98.0
732,Dandenong,3175,2014,Robbery,38.0
732,Dandenong,3175,2014,"Stalking, harassment and threatening behaviour",90.0
732,Dandenong,3175,2015,Assault and related offences,564.0
732,Dandenong,3175,2015,Dangerous and negligent acts endangering people,45.0
732,Dandenong,3175,2015,Other crimes against the person,101.0
732,Dandenong,3175,2015,Robbery,41.0
