,Year,Local Government Area,Suburb/Town Name,Postcode,Offence Subdivision,Incidents Recorded
0,2013,Alpine,Bright,3741,Assault and related offences,5
1,2013,Alpine,Bright,3741,Other crimes against the person,5
2,2013,Alpine,Buffalo River,3737,Dangerous and negligent acts endangering people,1
3,2013,Alpine,Dederang,3691,Assault and related offences,1
4,2013,Alpine,Eurobin,3739,Dangerous and negligent acts endangering people,1
5,2013,Alpine,Eurobin,3739,Other crimes against the person,1
6,2013,Alpine,Harrietville,3741,Assault and related offences,1
7,2013,Alpine,Mount Beauty,3699,Assault and related offences,1
8,2013,Alpine,Mount Beauty,3699,Other crimes against the person,2
9,2013,Alpine,Myrtleford,3737,Assault and related offences,16
10,2013,Alpine,Myrtleford,3737,Dangerous and negligent acts endangering people,3
11,2013,Alpine,Myrtleford,3737,Other crimes against the person,4
12,2013,Alpine,Myrtleford,3737,"Stalking, harassment and threatening behaviour",3
13,2013,Alpine,Nug Nug,3737,Dangerous and negligent acts endangering people,1
14,2013,Alpine,Ovens,3738,Assault and related offences,1
15,2013,Alpine,Porepunkah,3740,Other crimes against the person,1
16,2013,Alpine,Tawonga,3697,Assault and related offences,1
17,2013,Alpine,Wandiligong,3744,Assault and related offences,1
18,2013,Alpine,Wandiligong,3744,"Stalking, harassment and threatening behaviour",1
19,2013,Ararat,Ararat,3377,Assault and related offences,133
20,2013,Ararat,Ararat,3377,Dangerous and negligent acts endangering people,6
21,2013,Ararat,Ararat,3377,Other crimes against the person,20
22,2013,Ararat,Ararat,3377,Robbery,1
23,2013,Ararat,Ararat,3377,"Stalking, harassment and threatening behaviour",13
24,2013,Ararat,Armstrong,3377,Assault and related offences,1
25,2013,Ararat,Cathcart,3377,Assault and related offences,1
26,2013,Ararat,Dobie,3377,Assault and related offences,1
27,2013,Ararat,Dunneworthy,3377,Other crimes against the person,1
28,2013,Ararat,Elmhurst,3469,Assault and related offences,3
29,2013,Ararat,Elmhurst,3469,Other crimes against the person,1
30,2013,Ararat,Elmhurst,3469,"Stalking, harassment and threatening behaviour",2
31,2013,Ararat,Lake Bolac,3351,Assault and related offences,1
32,2013,Ararat,Moyston,3377,Assault and related offences,2
33,2013,Ararat,Nerrin Nerrin,3351,Assault and related offences,1
34,2013,Ararat,Streatham,3351,Assault and related offences,1
35,2013,Ararat,Tatyoon,3378,"Stalking, harassment and threatening behaviour",1
36,2013,Ararat,Wickliffe,3379,Assault and related offences,2
37,2013,Ararat,Willaura,3379,Assault and related offences,2
38,2013,Ballarat,Alfredton,3350,Assault and related offences,23
39,2013,Ballarat,Alfredton,3350,Dangerous and negligent acts endangering people,2
40,2013,Ballarat,Alfredton,3350,Other crimes against the person,3
41,2013,Ballarat,Alfredton,3350,"Stalking, harassment and threatening behaviour",5
42,2013,Ballarat,Bakery Hill,3350,Assault and related offences,16
43,2013,Ballarat,Bakery Hill,3350,Dangerous and negligent acts endangering people,2
44,2013,Ballarat,Bakery Hill,3350,Other crimes against the person,3
45,2013,Ballarat,Ballarat Central,3350,Assault and related offences,259
46,2013,Ballarat,Ballarat Central,3350,Dangerous and negligent acts endangering people,25
47,2013,Ballarat,Ballarat Central,3350,Other crimes against the person,32
48,2013,Ballarat,Ballarat Central,3350,Robbery,8
49,2013,Ballarat,Ballarat Central,3350,"Stalking, harassment and threatening behaviour",47
50,2013,Ballarat,Ballarat East,3350,Assault and related offences,49
51,2013,Ballarat,Ballarat East,3350,Other crimes against the person,6
52,2013,Ballarat,Ballarat East,3350,Robbery,1
53,2013,Ballarat,Ballarat East,3350,"Stalking, harassment and threatening behaviour",6
54,2013,Ballarat,Ballarat North,3350,Assault and related offences,15
55,2013,Ballarat,Ballarat North,3350,Other crimes against the person,3
56,2013,Ballarat,Ballarat North,3350,Robbery,1
57,2013,Ballarat,Ballarat North,3350,"Stalking, harassment and threatening behaviour",2
58,2013,Ballarat,Black Hill,3350,Assault and related offences,18
59,2013,Ballarat,Black Hill,3350,Other crimes against the person,5
60,2013,Ballarat,Black Hill,3350,Robbery,1
61,2013,Ballarat,Black Hill,3350,"Stalking, harassment and threatening behaviour",1
62,2013,Ballarat,Bo Peep,3351,Dangerous and negligent acts endangering people,1
63,2013,Ballarat,Bonshaw,3352,Assault and related offences,1
64,2013,Ballarat,Brown Hill,3350,Assault and related offences,7
65,2013,Ballarat,Brown Hill,3350,Other crimes against the person,2
66,2013,Ballarat,Brown Hill,3350,"Stalking, harassment and threatening behaviour",3
67,2013,Ballarat,Buninyong,3357,Assault and related offences,13
68,2013,Ballarat,Buninyong,3357,Other crimes against the person,4
69,2013,Ballarat,Buninyong,3357,"Stalking, harassment and threatening behaviour",1
70,2013,Ballarat,Burrumbeet,3352,Other crimes against the person,1
71,2013,Ballarat,Canadian,3350,Assault and related offences,12
72,2013,Ballarat,Canadian,3350,Dangerous and negligent acts endangering people,1
73,2013,Ballarat,Canadian,3350,Other crimes against the person,1
74,2013,Ballarat,Canadian,3350,"Stalking, harassment and threatening behaviour",1
75,2013,Ballarat,Cardigan,3352,Other crimes against the person,1
76,2013,Ballarat,Cardigan Village,3352,Assault and related offences,3
77,2013,Ballarat,Cardigan Village,3352,"Stalking, harassment and threatening behaviour",1
78,2013,Ballarat,Delacombe,3356,Assault and related offences,33
79,2013,Ballarat,Delacombe,3356,Dangerous and negligent acts endangering people,1
80,2013,Ballarat,Delacombe,3356,Other crimes against the person,9
81,2013,Ballarat,Delacombe,3356,Robbery,1
82,2013,Ballarat,Delacombe,3356,"Stalking, harassment and threatening behaviour",6
83,2013,Ballarat,Eureka,3350,Assault and related offences,3
84,2013,Ballarat,Eureka,3350,Dangerous and negligent acts endangering people,1
85,2013,Ballarat,Golden Point,3350,Assault and related offences,20
86,2013,Ballarat,Golden Point,3350,Dangerous and negligent acts endangering people,2
87,2013,Ballarat,Golden Point,3350,Other crimes against the person,1
88,2013,Ballarat,Golden Point,3350,"Stalking, harassment and threatening behaviour",2
89,2013,Ballarat,Invermay,3352,Assault and related offences,2
90,2013,Ballarat,Invermay Park,3350,Assault and related offences,1
91,2013,Ballarat,Lake Gardens,3355,Assault and related offences,10
92,2013,Ballarat,Lake Gardens,3355,"Stalking, harassment and threatening behaviour",2
93,2013,Ballarat,Lake Wendouree,3350,Assault and related offences,5
94,2013,Ballarat,Lake Wendouree,3350,Dangerous and negligent acts endangering people,1
95,2013,Ballarat,Lake Wendouree,3350,Robbery,1
96,2013,Ballarat,Lake Wendouree,3350,"Stalking, harassment and threatening behaviour",1
97,2013,Ballarat,Learmonth,3352,Assault and related offences,2
98,2013,Ballarat,Learmonth,3352,Other crimes against the person,2
99,2013,Ballarat,Miners Rest,3352,Assault and related offences,8
100,2013,Ballarat,Miners Rest,3352,Other crimes against the person,2
101,2013,Ballarat,Miners Rest,3352,Robbery,1
102,2013,Ballarat,Miners Rest,3352,"Stalking, harassment and threatening behaviour",1
103,2013,Ballarat,Mitchell Park,3355,Assault and related offences,1
104,2013,Ballarat,Mitchell Park,3355,Dangerous and negligent acts endangering people,1
105,2013,Ballarat,Mount Clear,3350,Assault and related offences,17
106,2013,Ballarat,Mount Clear,3350,Other crimes against the person,5
107,2013,Ballarat,Mount Clear,3350,"Stalking, harassment and threatening behaviour",7
108,2013,Ballarat,Mount Helen,3350,Assault and related offences,5
109,2013,Ballarat,Mount Helen,3350,Dangerous and negligent acts endangering people,1
110,2013,Ballarat,Mount Helen,3350,Other crimes against the person,1
111,2013,Ballarat,Mount Helen,3350,"Stalking, harassment and threatening behaviour",1
112,2013,Ballarat,Mount Pleasant,3350,Assault and related offences,10
113,2013,Ballarat,Mount Pleasant,3350,Other crimes against the person,1
114,2013,Ballarat,Mount Pleasant,3350,Robbery,2
115,2013,Ballarat,Mount Pleasant,3350,"Stalking, harassment and threatening behaviour",4
116,2013,Ballarat,Mount Rowan,3352,Other crimes against the person,1
117,2013,Ballarat,Mount Rowan,3352,"Stalking, harassment and threatening behaviour",1
118,2013,Ballarat,Nerrina,3350,Assault and related offences,5
119,2013,Ballarat,Nerrina,3350,Other crimes against the person,1
120,2013,Ballarat,Newington,3350,Assault and related offences,4
121,2013,Ballarat,Newington,3350,Other crimes against the person,5
