,postcode,place_name,latitude,longitude
11712,3000,Melbourne,-37.814,144.9633
11713,3001,Melbourne,-37.814,144.9633
11714,3002,East Melbourne,-37.8167,144.9879
11715,3003,West Melbourne,-37.8101,144.95
11716,3004,Melbourne,-37.814,144.9633
11717,3004,St Kilda Road Central,-37.814,144.9633
11718,3004,St Kilda Road Melbourne,-37.814,144.9633
11719,3005,World Trade Centre,-37.8152,144.9632
11720,3006,South Wharf,-37.8253,144.9522
11721,3006,Southbank,-37.8228,144.9643
11722,3008,Docklands,-37.8149,144.9505
11723,3010,University Of Melbourne,-37.7958,144.9612
11724,3011,Seddon,-37.8061,144.8907
11725,3011,Seddon West,-37.7995,144.8963
11726,3011,Footscray,-37.8,144.9
11727,3012,Maidstone,-37.7803,144.8735
11728,3012,Tottenham,-37.7985,144.8626
11729,3012,West Footscray,-37.7975,144.8773
11730,3012,Brooklyn,-37.8161,144.8415
11731,3012,Kingsville,-37.8082,144.8791
11732,3013,Yarraville,-37.8167,144.9
11733,3013,Yarraville West,-37.8249,144.8708
11734,3015,Newport,-37.8443,144.8848
11735,3015,Spotswood,-37.8298,144.8852
11736,3015,South Kingsville,-37.8302,144.8709
11737,3016,Williamstown North,-37.8552,144.8826
11738,3016,Williamstown,-37.857,144.8977
11739,3018,Seaholme,-37.864,144.845
11740,3018,Altona,-37.8696,144.8304
11741,3019,Braybrook,-37.7867,144.8548
11742,3019,Robinson,-37.7867,144.8548
11743,3020,Sunshine West,-37.7912,144.8164
11744,3020,Albion,-37.7667,144.8333
11745,3020,Glengala,-37.775,144.8333
11746,3020,Sunshine North,-37.7699,144.8279
11747,3020,Sunshine,-37.7833,144.8333
11748,3021,Albanvale,-37.7461,144.7686
11749,3021,St Albans,-37.745,144.8005
11750,3021,Kealba,-37.7371,144.8283
11751,3021,Kings Park,-37.734,144.7777
11752,3022,Deer Park East,-37.7764,144.8016
11753,3022,Ardeer,-37.7759,144.8014
11754,3023,Deer Park,-37.7667,144.7833
11755,3023,Ravenhall,-37.7655,144.751
11756,3023,Deer Park North,-37.7541,144.7651
11757,3023,Burnside,-37.7494,144.753
11758,3023,Cairnlea,-37.7593,144.7878
11759,3023,Burnside Heights,-37.7269,144.7523
11760,3023,Caroline Springs,-37.7412,144.7363
11761,3024,Wyndham Vale,-37.8415,144.541
11762,3024,Mount Cottrell,-37.8167,144.5833
11763,3024,Mambourin,-37.8755,144.5032
11764,3025,Altona North,-37.8349,144.8474
11765,3025,Altona Gate,-37.8349,144.8474
11766,3025,Altona East,-37.8349,144.8474
11767,3026,Laverton North,-37.8205,144.8159
11768,3027,Williams Landing,-37.8619,144.7437
11769,3028,Altona Meadows,-37.8841,144.7837
11770,3028,Laverton,-37.862,144.7698
11771,3028,Seabrook,-37.8809,144.7587
11772,3029,Truganina,-37.8167,144.75
11773,3029,Hoppers Crossing,-37.8826,144.7003
11774,3029,Tarneit,-37.8667,144.6667
11775,3030,Point Cook,-37.9148,144.7509
11776,3030,Quandong,-37.8139,144.4951
11777,3030,Werribee,-37.9,144.6667
11778,3030,Derrimut,-37.7924,144.7699
11779,3030,Cocoroc,-37.9728,144.5643
