Year;Local Government Area;Offence Subdivision;Incidents Recorded;id_loc;id
2013;Alpine;Assault and related offences;5;355;1
2013;Alpine;Other crimes against the person;5;355;2
2013;Alpine;Dangerous and negligent acts endangering people;1;396;3
2013;Alpine;Assault and related offences;1;754;4
2013;Alpine;Dangerous and negligent acts endangering people;1;923;5
2013;Alpine;Other crimes against the person;1;923;6
2013;Alpine;Assault and related offences;1;1190;7
2013;Alpine;Assault and related offences;1;1870;8
2013;Alpine;Other crimes against the person;2;1870;9
2013;Alpine;Assault and related offences;16;1968;10
2013;Alpine;Dangerous and negligent acts endangering people;3;1968;11
2013;Alpine;Other crimes against the person;4;1968;12
2013;Alpine;Stalking, harassment and threatening behaviour;3;1968;13
2013;Alpine;Dangerous and negligent acts endangering people;1;2088;14
2013;Alpine;Assault and related offences;1;2131;15
2013;Alpine;Other crimes against the person;1;2212;16
2013;Alpine;Assault and related offences;1;2597;17
2013;Alpine;Assault and related offences;1;2806;18
2013;Alpine;Stalking, harassment and threatening behaviour;1;2806;19
2013;Ararat;Assault and related offences;133;55;20
2013;Ararat;Dangerous and negligent acts endangering people;6;55;21
2013;Ararat;Other crimes against the person;20;55;22
2013;Ararat;Robbery;1;55;23
2013;Ararat;Stalking, harassment and threatening behaviour;13;55;24
2013;Ararat;Assault and related offences;1;69;25
2013;Ararat;Assault and related offences;1;541;26
2013;Ararat;Assault and related offences;1;791;27
2013;Ararat;Other crimes against the person;1;840;28
2013;Ararat;Assault and related offences;3;891;29
2013;Ararat;Other crimes against the person;1;891;30
2013;Ararat;Stalking, harassment and threatening behaviour;2;891;31
2013;Ararat;Assault and related offences;1;1486;32
2013;Ararat;Assault and related offences;2;1923;33
2013;Ararat;Assault and related offences;1;2024;34
2013;Ararat;Assault and related offences;1;2508;35
2013;Ararat;Stalking, harassment and threatening behaviour;1;2596;36
2013;Ararat;Assault and related offences;2;2918;37
2013;Ararat;Assault and related offences;2;2925;38
2013;Ballarat;Assault and related offences;23;23;39
2013;Ballarat;Dangerous and negligent acts endangering people;2;23;40
2013;Ballarat;Other crimes against the person;3;23;41
2013;Ballarat;Stalking, harassment and threatening behaviour;5;23;42
2013;Ballarat;Assault and related offences;16;108;43
2013;Ballarat;Dangerous and negligent acts endangering people;2;108;44
2013;Ballarat;Other crimes against the person;3;108;45
2013;Ballarat;Assault and related offences;259;116;46
2013;Ballarat;Dangerous and negligent acts endangering people;25;116;47
2013;Ballarat;Other crimes against the person;32;116;48
2013;Ballarat;Robbery;8;116;49
2013;Ballarat;Stalking, harassment and threatening behaviour;47;116;50
2013;Ballarat;Assault and related offences;49;117;51
2013;Ballarat;Other crimes against the person;6;117;52
2013;Ballarat;Robbery;1;117;53
2013;Ballarat;Stalking, harassment and threatening behaviour;6;117;54
2013;Ballarat;Assault and related offences;15;118;55
2013;Ballarat;Other crimes against the person;3;118;56
2013;Ballarat;Robbery;1;118;57
2013;Ballarat;Stalking, harassment and threatening behaviour;2;118;58
2013;Ballarat;Assault and related offences;18;267;59
2013;Ballarat;Other crimes against the person;5;267;60
2013;Ballarat;Robbery;1;267;61
2013;Ballarat;Stalking, harassment and threatening behaviour;1;267;62
2013;Ballarat;Dangerous and negligent acts endangering people;1;281;63
2013;Ballarat;Assault and related offences;1;303;64
2013;Ballarat;Assault and related offences;7;376;65
2013;Ballarat;Other crimes against the person;2;376;66
2013;Ballarat;Stalking, harassment and threatening behaviour;3;376;67
2013;Ballarat;Assault and related offences;13;429;68
2013;Ballarat;Other crimes against the person;4;429;69
2013;Ballarat;Stalking, harassment and threatening behaviour;1;429;70
2013;Ballarat;Other crimes against the person;1;445;71
2013;Ballarat;Assault and related offences;12;483;72
2013;Ballarat;Dangerous and negligent acts endangering people;1;483;73
2013;Ballarat;Other crimes against the person;1;483;74
2013;Ballarat;Stalking, harassment and threatening behaviour;1;483;75
2013;Ballarat;Other crimes against the person;1;507;76
2013;Ballarat;Assault and related offences;3;508;77
